311694861,  carlokarl, 63, 34, 29, yes
1324250802,  LaconicaMente, 25, 15, 10, yes
3458373497,  epicuro12, 41, 25, 16, yes
593237139,  alexcar1975, 13, 10, 3, yes
716244045220212736,  virgolettte, 6, 6, 0, yes
197913402,  palermanlio78, 6, 5, 1, yes
988579303,  marica_scolari, 4, 4, 0, yes
1035817940,  a_panarella, 4, 4, 0, yes
84331830,  lnuvoli90, 3, 3, 0, yes
377660882,  Hellzapoppin80, 487, 326, 161, yes
1710334843,  AScribellito, 9, 9, 0, yes
728693657159794688,  slowcheetah___, 8, 8, 0, yes
2401805054,  Gianf167, 3, 3, 0, yes
752853790508867584,  BastaUnSiBXL, 11, 11, 0, yes
777855788882812928,  RTgovernoRenzi, 107, 102, 5, yes
76769340,  sandrogozi, 51, 51, 0, yes
58300699,  87Nico, 11, 7, 4, yes
1114135652,  MaCriCocc, 3, 3, 0, yes
2479620311,  danieledvpd, 624, 537, 87, yes
986811270,  BarbaraRaval, 31, 21, 10, yes
2892216196,  anticorrotti, 248, 234, 14, yes
781046072865087488,  GianniGrasso7, 38, 36, 2, yes
420194671,  mariamastrangel, 113, 98, 15, yes
2995932370,  pstasio81, 8, 8, 0, yes
775318412507643904,  JoeleCorigliano, 14, 14, 0, yes
256920776,  Nukios, 4, 4, 0, yes
4854132653,  Giusepp18483681, 120, 90, 30, yes
2812859778,  stefanodelisio, 1226, 960, 266, yes
782584298964672512,  PaolaSalcuni, 199, 172, 27, yes
1579008720,  GiusiPlebot, 1689, 1444, 245, yes
4885620221,  FedericaBidiVal, 1697, 1534, 163, yes
783023868378279940,  monica_bosso, 1501, 1444, 57, yes
3041446144,  tramas30, 238, 214, 24, yes
782669007975395328,  Pat35053636, 166, 160, 6, yes
788754158241378305,  Regina84Claudia, 404, 356, 48, yes
793787252040142848,  Pimpapallina, 1871, 1687, 184, yes
753229135611396096,  fil_otto, 7, 5, 2, yes
1594040222,  marobe997, 161, 95, 66, yes
2252899982,  JPCK72, 18, 12, 6, yes
4792934663,  IlDucaBianco94, 21, 18, 3, yes
728807104790794240,  Toni978374641, 261, 149, 112, yes
253550542,  pieroomega, 41, 30, 11, yes
737320057190133760,  IlpiDiOTaH, 9, 8, 1, yes
139678228,  matmoli, 10, 8, 2, yes
2476119007,  ElisabScalambra, 87, 83, 4, yes
731394546,  panteganarosa, 5, 5, 0, yes
2754876919,  villani_e, 16, 11, 5, yes
21929177,  pbaro, 19, 12, 7, yes
429974408,  MarosticaR, 42, 30, 12, yes
1467415374,  valiante_s, 23, 23, 0, yes
405662253,  gal_nic, 7, 7, 0, yes
119365569,  luscertola, 9, 9, 0, yes
1368793633,  gjscco, 820, 475, 345, yes
1601251586,  lanzanera, 7, 4, 3, yes
3300865876,  marcolecce1998, 4, 3, 1, yes
